fault_id,case_id,family,arm,mutation_class,threat_axis,semantic_intent,proposal_sha256,canonical_proposal_sha256,proposal_changed,parser_accepted,native_materializer_accepted,native_representation_callback_calls,candidate_differs_oracle,representation_fail_open,common_validator_calls,common_validator_accepted,full_pipeline_rejected,end_to_end_fail_open,first_rejection_layer,exception_class,exception_message,caller_state_unchanged,uncaught_crash,pass
F01,no_op,no_op,cope_exact,structural,commission_or_structure,replace the output object with a scalar,66775aec882492d69c47b61f8a2cdb8cb52e05157551c1e8fa47314fe44c9379,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output must be an object,True,False,True
F01,no_op,no_op,cope_generic,structural,commission_or_structure,replace the output object with a scalar,66775aec882492d69c47b61f8a2cdb8cb52e05157551c1e8fa47314fe44c9379,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output must be an object,True,False,True
F01,no_op,no_op,compact_tx,structural,commission_or_structure,replace the output object with a scalar,66775aec882492d69c47b61f8a2cdb8cb52e05157551c1e8fa47314fe44c9379,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,True,False,False,0,,False,0,False,True,False,schema_parser,CompactTransactionError,compact proposal fields are noncanonical,True,False,True
F01,no_op,no_op,fsr_pc,structural,commission_or_structure,replace the output object with a scalar,66775aec882492d69c47b61f8a2cdb8cb52e05157551c1e8fa47314fe44c9379,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,full-state output must be a full-state-v2 object,True,False,True
F02,no_op,no_op,cope_exact,structural,commission_or_structure,use an unknown top-level schema version,4629b04255a0fc78fae2ced480b43d8bd244f3a0d0bed5c80d03d38e799c3a7c,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output has noncanonical fields or schema,True,False,True
F02,no_op,no_op,cope_generic,structural,commission_or_structure,use an unknown top-level schema version,4629b04255a0fc78fae2ced480b43d8bd244f3a0d0bed5c80d03d38e799c3a7c,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output has noncanonical fields or schema,True,False,True
F02,no_op,no_op,compact_tx,structural,commission_or_structure,use an unknown top-level schema version,1d07cc50f95f74b2fdaf2c7e31e212a5128ac6d79ce332634575afe50e1c9f2b,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,True,False,False,0,,False,0,False,True,False,schema_parser,CompactTransactionError,compact proposal schema mismatch,True,False,True
F02,no_op,no_op,fsr_pc,structural,commission_or_structure,use an unknown top-level schema version,6a5b8c7512a30710e8251cc9b3952ade6d8a43a406ac14e0789eb939ad605b06,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,full-state output must be a full-state-v2 object,True,False,True
F03,no_op,no_op,cope_exact,structural,commission_or_structure,remove one required top-level field,dea1a05872cf245d286db4d1f274c1c43f9f1f5e9369a56b367fea16e70b7386,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output has noncanonical fields or schema,True,False,True
F03,no_op,no_op,cope_generic,structural,commission_or_structure,remove one required top-level field,dea1a05872cf245d286db4d1f274c1c43f9f1f5e9369a56b367fea16e70b7386,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,True,False,False,0,,False,0,False,True,False,schema_parser,NativeOutputError,patch output has noncanonical fields or schema,True,False,True
