task_id,initial_state_id,policy_seed,trace_line,phase,policy_step,environment_control,predicate_name,predicate_kind,predicate_arguments,commitment,current,ever,regression,evidence_admissibility
0,0,101,1,initial,0,0,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,1,initial,0,0,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,1,initial,0,0,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,1,initial,0,0,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,1,initial,0,0,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,1,initial,0,0,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,3,settling,0,1,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,5,settling,0,2,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,7,settling,0,3,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,9,settling,0,4,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,basket_reachable,object_within_xy_bounds,"[""basket_1"",[-0.35,0.35],[-0.36,0.36]]",False,True,True,False,recorded_milestone_sub_evidence
0,0,101,11,settling,0,5,final_goal_currently_satisfied,final_success,[],False,False,False,False,recorded_milestone_sub_evidence
0,0,101,13,settling,0,6,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,13,settling,0,6,alphabet_soup_in_basket,libero_predicate,"[""in"",""alphabet_soup_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
0,0,101,13,settling,0,6,tomato_sauce_lifted,object_z_at_least,"[""tomato_sauce_1"",0.53]",False,False,False,False,recorded_milestone_sub_evidence
0,0,101,13,settling,0,6,tomato_sauce_in_basket,libero_predicate,"[""in"",""tomato_sauce_1"",""basket_1_contain_region""]",True,False,False,False,recorded_milestone_sub_evidence
