task_id,initial_state_id,policy_seed,success,status,raw_policy_id,provider_id,policy_model_id,freeze_policy_id_matches_provider,policy_steps,settling_controls,environment_controls,inference_seconds,terminal_goal_current,terminal_goal_ever,initial_state_sha256,terminal_sha256,trace_sha256,raw_policy_action_sequence_sha256,environment_policy_action_sequence_sha256,evidence_ref_original,integrity_status
0,0,101,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,140.98742219433188,False,False,747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,5ca41b7ba94d5fe383ddf89a4f6898ad997ff294f86be5290bd4ace682240b9a,6a43204557685871cdd923d19eb820d25e9a2226af77d1dbbf36471d797520c0,8cef252d13fbf75ad02c67e397e5eb812d07dd60ba5dd450aee2974795285aa5,1019d0e6067b20c5a733c4d65423ddb133ef501755c4460622531da99836d29b,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_0_seed_101/TERMINAL.txt,PASS
0,0,131,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,141.01943582296371,False,False,747b653b2ca1feeae8f3bd994880ce743730993ea5ce4bd003623e877f26b3bd,6e7392dfeb3925324eecea53e9da78ddb519e8f372319f64fc5957a6f559cf84,be98016448c012d6fbef4cf12a094d7cff9a974cf540289618d6e3a6e3d7e16e,8cef252d13fbf75ad02c67e397e5eb812d07dd60ba5dd450aee2974795285aa5,1019d0e6067b20c5a733c4d65423ddb133ef501755c4460622531da99836d29b,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_0_seed_131/TERMINAL.txt,PASS
0,1,101,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,139.7596313599497,False,False,cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,2a8cb9246a51094c808f48ddabbdac31872bb70824a3a4ee25a8550beed64426,3883596c9bb1ea8edf0928a0976f58043d27ecfe67dbd10af0883517880ec1e6,f7b66d5cbd466051932d200eb585e3eb30539bc12087b5b6f378006355fb4a7d,d266d65eb7da8d3c64cb362fd7e1f639042318c795ecadb1f2d43b234fe9ed9e,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_1_seed_101/TERMINAL.txt,PASS
0,1,131,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,140.55282904207706,False,False,cf85ed132ae09bfad8798a3126b14879071228e0e2e7bd17c3e9d20e519cdb5a,7f2b7db19e374e1b7f1614ef3989920e2ce8b50a33335455d9478cacc3ae5e80,a82126d84de39e9c050b4182178ec4ed25742066c5231378e81087e3a1d4d57a,f7b66d5cbd466051932d200eb585e3eb30539bc12087b5b6f378006355fb4a7d,d266d65eb7da8d3c64cb362fd7e1f639042318c795ecadb1f2d43b234fe9ed9e,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_1_seed_131/TERMINAL.txt,PASS
0,2,101,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,139.17814829573035,False,False,be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,0d41323e7a7b2ce386d561f9a309445ab25b437048c15dd1b169a369acab226d,82a13eea1dc06631eb3f43b4ca036e4a6508d70639f4795a714b86af895a2aa4,933a808b0c620919844d2e6961ad24e2a7618ec16ae648782ce8b3674568df00,2c1d7e319fbc97e32b0207edfad8ee0b4107c719d2a2729bd702cd4ff47fdaa9,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_2_seed_101/TERMINAL.txt,PASS
0,2,131,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,140.4749504197389,False,False,be0c23f82748baf99eea1ecc4ff28eb82163945bc0bfffb509eeef0decced138,81479c798c74c0fc401b8edbe720abe10821df471cfca2a8b6640b07d1fe3657,61cd66ba0ee334428e2f201d37547adf4af8e6e8995c8f608078a18063ad8f69,933a808b0c620919844d2e6961ad24e2a7618ec16ae648782ce8b3674568df00,2c1d7e319fbc97e32b0207edfad8ee0b4107c719d2a2729bd702cd4ff47fdaa9,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_2_seed_131/TERMINAL.txt,PASS
0,3,101,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,139.60142198204994,False,False,6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,5e8ce75c4f71a9e56c5941394959396917c6cd26778fc72c692d9a9f202170b5,4cbb7f0d05d91c60a9c8339ea7a1a736004b1227733546f056dd82e1f398f53d,8050360790381647f61128c5da558461d283e33a59cfb59d472c0c867464198c,7d50384973b8356ddf268a5465dec4665ddf658978ed72b422212476b4a8f9f7,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_3_seed_101/TERMINAL.txt,PASS
0,3,131,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,139.90303118526936,False,False,6929d3090ef9a3431c21b84539c99c3b481b09042bc6f3cf07ea0cc44fb65a70,9c7252e229a874fda143cb472a008edbe168c192f2471bf13a6289c5bb8a78a7,5e21eccde79feb862ac68fa2483266bfb94f1223fb4b9d590de82148aef301ae,8050360790381647f61128c5da558461d283e33a59cfb59d472c0c867464198c,7d50384973b8356ddf268a5465dec4665ddf658978ed72b422212476b4a8f9f7,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_3_seed_131/TERMINAL.txt,PASS
0,4,101,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,138.69075169973075,False,False,376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,609074a254c20f6ab31c0f0f8e563b687e00ec6b9fd6889bff5e584414c2479b,6d407edccd00cf9e8cd43b521623e03e07e1a951a89b38570ceed140c7fd2da5,645e105ff45dcead4068750147d16e5f6199a7d78a31ea83feead865b52fd73e,0344a598bb706c48451a5f2434899613bb929652d2430255906f9046d0e1bce9,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_4_seed_101/TERMINAL.txt,PASS
0,4,131,False,timeout,openvla-7b-finetuned-libero-10,openvla_native,openvla-7b-finetuned-libero-10,False,260,10,270,139.32378292642534,False,False,376f48b75f50d4e1eff9e3f49f307de0bcfc44d2a081f5cb9c124cf985330c41,c2ccc92f0072b09813451d2f55f32675a7171e06b76a4fa4a5fc12fe57b9c6d7,fdc4c5996d2e46afc466a34ccdff596b06bed1b5b513421ee4b5c9cb5d0edbc9,645e105ff45dcead4068750147d16e5f6199a7d78a31ea83feead865b52fd73e,0344a598bb706c48451a5f2434899613bb929652d2430255906f9046d0e1bce9,/home/lijingsu/vla/outputs/repeated_v2_readiness_20260906/clean_calibration_01/task_0_state_4_seed_131/TERMINAL.txt,PASS
