case_id,task_id,event_type,arm,parser_materializer_validator_pass,proposal_sha256,post_state_sha256,expected_post_state_sha256,compiled_directive,error,provider_calls,simulator_states_indexed
task0_replace,0,replace_pending_goal,cope,True,8a246390cc9a918223eae4d8f3932a31345dc09de8282e7e03d81041bc90bf65,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,put both the alphabet soup and the cream cheese box in the basket,,0,0
task0_replace,0,replace_pending_goal,neutral_patch,True,90820181265d67c7c5789b42c5fe9e516a4b2903801707b1fd584a5b38b378e9,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,put both the alphabet soup and the cream cheese box in the basket,,0,0
task0_replace,0,replace_pending_goal,compact_tx,True,fa764ccd6a4b21f2ad47b4037e033a285bb5e4579966033853dcc1b10dbe560b,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,put both the alphabet soup and the cream cheese box in the basket,,0,0
task0_replace,0,replace_pending_goal,fsr_pc,True,ac2768773a4c2ca0f7443b094561f0906483f779f3ad4bbaf7c558716b075441,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,0fe88f69b6e60b06cc508deed1e0cdf9128357bca8e7835d77dcef66302a052e,put both the alphabet soup and the cream cheese box in the basket,,0,0
task0_cancel,0,cancel_pending_goal,cope,True,caae75c46f39b40d85364d9c93e1a88d4a52fd69a68d6be9fc48e0732ba71e21,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,HALT,,0,0
task0_cancel,0,cancel_pending_goal,neutral_patch,True,92b802faf7a46543518f602d5515cb107c15c4a8f683be679519841d2bc18ad7,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,HALT,,0,0
task0_cancel,0,cancel_pending_goal,compact_tx,True,4885812345817190e0b7b6341789e436f1d052ab5a54f368f9441f965b55ea7a,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,HALT,,0,0
task0_cancel,0,cancel_pending_goal,fsr_pc,True,e22b9896bc88ac0dfbd8046f4746c21ebc008803dad74a3ebab5f47fb28c137d,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,94c82553def38b9674be80e13eb28ad025f1d3b51e345cdd20866e3ea02c8dd9,HALT,,0,0
task7_replace,7,replace_pending_goal,cope,True,5cf0e4df0832113d1265faa51dc4cd1a938b39067dd41317ffcd645cea6a9b50,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,put both the alphabet soup and the butter in the basket,,0,0
task7_replace,7,replace_pending_goal,neutral_patch,True,af98153f1f25bad052b744f03044a162fd0fbaa6e4d6293d29d541ba7484ccef,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,put both the alphabet soup and the butter in the basket,,0,0
task7_replace,7,replace_pending_goal,compact_tx,True,fd65de538b178b84d49a8dc0755f500a3128a8d23b5e43f69dab8244dfdca198,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,put both the alphabet soup and the butter in the basket,,0,0
task7_replace,7,replace_pending_goal,fsr_pc,True,12642b583bcf2043372330f842438601f92073a0958981137d122a880a5f5990,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,a52f5a22775c16d26635581f08271535ce468de07238abdd9dc0c17ddb2838de,put both the alphabet soup and the butter in the basket,,0,0
task7_cancel,7,cancel_pending_goal,cope,True,9721061ce66edbb7a7a6bed515abcf811a6dbffab0b98cc51da96f6e46bebbda,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,HALT,,0,0
task7_cancel,7,cancel_pending_goal,neutral_patch,True,fbd5ed63a20564d5871fbc7050a06d2944b92ced4f20f623427e7f9baefa27e7,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,HALT,,0,0
task7_cancel,7,cancel_pending_goal,compact_tx,True,4f1111ff80ea61488c6c1d993912f47b77a82c8dadae6e0210fdbacb37784842,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,HALT,,0,0
task7_cancel,7,cancel_pending_goal,fsr_pc,True,a7ac03cd613c2a00c07c028fb43fbe3f20bfd616b1812038be6641f959ab421d,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,457271428a6df97935a4f26cd5195d967f06ab6d436be0ac77cf98aa3c7a3f9d,HALT,,0,0
