case_id,sample_index,mutation_count,mutations,candidate_sha256,candidate_changed,exact_accepted,decomposed_accepted,decision_parity,exact_error,decomposed_error,violated_groups,caller_state_unchanged
no_op,0,2,dict_delete:/entities/2/kind;scalar_replace:/commitments/1/valid_until,49a91aaebb5b3bf5a937e258931ecd6fdbc1903e161e41e6fedc206be70cac6a,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,1,3,list_reverse:/current_goal/all/1/arguments;list_reverse:/current_goal/all/0/arguments;dict_delete:/commitments/0/grounding,310041b2fa76fa84646eabdca4424c6aecca2e6085036fe8727a359746287bab,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,2,2,list_duplicate:/progress_ledger/0;list_duplicate:/progress_ledger/0,4d5544d5e1cea84e3224995360079d1694a33a1ef07a6644b849ffbeff1ca364,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,3,1,list_reverse:/entities,9d325e9ebc0602a606f3608331c67dfd8003effb008b54b140f1730980e1ae17,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,4,4,list_duplicate:/current_goal/all/0;scalar_replace:/plan/0/arguments/1;scalar_replace:/plan/0/cancellation_reason;scalar_replace:/current_goal/all/2/arguments/1,f63dd87efaab7ab8eb388815bba5df9b89579c2e80845ed0d0a75abd356f3cc4,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,5,4,list_duplicate:/plan/0;list_duplicate:/plan/1/arguments/0;list_duplicate:/progress_ledger/0;scalar_replace:/commitments/1/predicate,b0a639deb8321b7d6cdbfdb85d4cb2faedced6bffbbe0296a8bbc25e61b48fa0,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,6,1,scalar_replace:/commitments/0/valid_from,1c60e4a350f70cb33442dcaeaf03925dd210979dee7dc8f4e6044e1515a47d0e,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,7,4,scalar_replace:/current_goal/all/1/predicate;list_duplicate:/entities/1;list_duplicate:/plan/0/arguments/0;list_duplicate:/current_goal/all/0/arguments/1,0a0eed2084991c2248a9dfaf938832637f78067f308840ddb1ac9d76ca93f2b3,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,8,4,scalar_replace:/commitments/1/owner;scalar_replace:/entities/2/id;dict_delete:/progress_ledger/0/milestone_id;list_duplicate:/commitments/1,590ec306eb8e27ec4f0d9c21c78cd05cd79be505675c55f3d858bb4a1e548c98,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,9,1,list_reverse:/current_goal/all/1/arguments,51ca34aec1a99f068445f411b2fae7fbae545f24c4a6fd1b4f25f5d445784300,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,10,4,dict_add:/entities/1/__fuzz_extra__;list_reverse:/commitments/1/grounding;scalar_replace:/commitments/0/lifecycle_status;dict_delete:/entities/2/id,3f2afe83d0024b57c89b4753b24863bda483d131114bab11d2de441a414ec17e,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,11,2,list_reverse:/commitments/1/grounding;list_duplicate:/current_goal/all/0,74bd79e05ca33185ad749f6f1fb1b322cdc2af4afac2cd115220d5960722607e,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,12,4,dict_add:/current_goal/all/0/__fuzz_extra__;list_duplicate:/progress_ledger/0;dict_add:/evidence_versions/__fuzz_extra__;dict_delete:/current_goal/all,adb4ec8ff9201c4b1a30ee898e74f072f8c9940e7d7f7673608261c04e80f43a,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,13,2,dict_add:/entities/2/__fuzz_extra__;list_duplicate:/commitments/0,93aa15ba82d9e152f014ea5762e815be4a25307ae4d29404cdf9191fbaeca013,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,14,4,dict_delete:/commitments/0/support_links;scalar_replace:/current_goal/all/1/arguments/0;scalar_replace:/evidence_versions/event_id;list_delete:/plan/0,f9d98e47e1febbc082879909521259cb52867e07d3ad08b5928facac222daa2c,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,15,4,list_delete:/plan/0;scalar_replace:/schema_version;dict_delete:/commitments/0/supersession_links;list_duplicate:/progress_ledger/0,8aff91af834e9871b2e01855d01b875286780242fd450d340d4f27f303bcbe0d,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,16,3,dict_add:/commitments/1/__fuzz_extra__;list_reverse:/commitments/1/grounding;list_duplicate:/commitments/0/grounding/1,3bafce6513bf27f779e18d7f2589ca0ea1cc29ccfa9a56fa99733d52723e5b4c,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,17,3,dict_add:/commitments/0/__fuzz_extra__;list_duplicate:/current_goal/all/0/arguments/0;dict_delete:/current_goal/all/1/arguments,c2fa357abb7c75ad8248483c9c3011aa4e5d0b1e267bada734fb15d712324862,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,18,1,dict_delete:/progress_ledger/0/still_goal_relevant,d18b95089804ec5ed5b3b80b14039bc258af32aae8ff171f30abacaa363d0c92,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,19,3,list_duplicate:/commitments/0/grounding/0;list_duplicate:/current_goal/all/1/arguments/1;list_duplicate:/commitments/0/grounding/0,3d352b167360dc5026193d4dde847b975235b1ee2550230767e2cc7f05de5621,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,20,2,scalar_replace:/current_goal/all/1/arguments/0;list_reverse:/commitments/0/grounding,c2e5099d763104d3ea6a77957231c2bcf7c6c1aa19ce6d455dababff2f8d0729,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,21,1,dict_add:/__fuzz_extra__,d5c7cbe006ac47f7ee8a5985dd802fd2271e2f54fb8f6f7b10af0798c890f638,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,22,2,scalar_replace:/commitments/0/grounding/0;list_duplicate:/progress_ledger/0,6a1dcdc000c4a79af8b9492aa5777f2afdb8559fffcb3d844e0e2d98c7097e4a,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,23,3,scalar_replace:/entities/2/kind;list_reverse:/current_goal/all;list_reverse:/entities,ab66822b4f76906ca3b81ec6eac96795c8bdd35177c61b28b774d52acf2a725d,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,24,2,list_delete:/entities/1;list_duplicate:/commitments/0,c9fa0860b94acd280f6cdd67e74d3a887ba72305318b2902896f141aceae5198,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,25,1,scalar_replace:/plan/0/cancellation_reason,2a5d06cfe0cdb1b136fd3b2a02642a3bcc4a6397d17ab56c57431f48b8c6765a,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,26,4,list_reverse:/entities;list_delete:/commitments/1/grounding/0;list_reverse:/entities;list_delete:/current_goal/all/1/arguments/1,053146f9ba768feda182dc6d60ce092b4a97ae640e580132cb10fde5e5269a2f,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,27,3,list_duplicate:/current_goal/all/0/arguments/1;list_duplicate:/plan/0/arguments/1;dict_add:/current_goal/all/1/__fuzz_extra__,8114d0d01a00db4a0c7e4799c44d1b33be6fd85277128af301c2f8111d81bf75,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,28,2,scalar_replace:/progress_ledger/0/still_goal_relevant;list_delete:/commitments/0,1e89ee0dbb7da3a8af0c0ddffe36662d3ecee59c4da9fcd30f75d198ddaf754d,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,29,1,scalar_replace:/commitments/0/predicate,3466b5c0627d8c325d806a6ff86fee4f706576eeb472d31eebd87e437da1805b,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
no_op,30,2,scalar_replace:/commitments/0/authority;dict_delete:/plan/0/cancellation_reason,7b8b0b4361369869e187ded22f8d00d9bdbc7ae64170c5a512f47c0b71cd349c,True,False,False,True,NativeOutputError:candidate post-state is not event-bound canonical state,,authorization_noop,True
