task_id,initial_state_id,policy_seed,trace_line,phase,policy_step,environment_control,predicate_name,predicate_kind,predicate_arguments,commitment,current,ever,regression,evidence_admissibility,trace_id,trace_sha256,line_sha256,previous_sample_line,previous_sample_line_sha256,is_placement_goal,catalog_certified
0,0,101,773,policy,188,198,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_0_seed_101,6a43204557685871cdd923d19eb820d25e9a2226af77d1dbbf36471d797520c0,f9f37e1c2fbd33fe8cd1003ea8e08b7723590c5b45cd468b31842b1a2394a295,769,e347827777cedc88f6b91841d982f0307295dd9af3eeaf6056c9620fad0554ba,False,False
0,0,131,773,policy,188,198,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_0_seed_131,be98016448c012d6fbef4cf12a094d7cff9a974cf540289618d6e3a6e3d7e16e,f36f9968d54858f756b4707d97d5a823d8fabfb2a77706cb9894559c835cd93f,769,63903c7c8db63c4337f94556e9c9fef65f89ef05c2850cf6bfb2662a6b8cdd02,False,False
0,1,101,585,policy,141,151,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_1_seed_101,3883596c9bb1ea8edf0928a0976f58043d27ecfe67dbd10af0883517880ec1e6,779266763618c6297640360889d5e351279d7e83e49ea69189eeb9852099241d,581,999b5ec2cb772246d8ef3a0d9b29a58ea726a48bfd78bb84d78e198ed15be9a1,False,False
0,1,131,585,policy,141,151,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_1_seed_131,a82126d84de39e9c050b4182178ec4ed25742066c5231378e81087e3a1d4d57a,6f1e6e55f3d5c51c38c8928b4556ca0f8a0d2e0ba98b17329236de2b7fe1e25a,581,2cc24ae81614b7ffa00b8eb96c9fe2273bf20b4d59a7e830717ccba74e25e253,False,False
0,2,101,669,policy,162,172,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_2_seed_101,82a13eea1dc06631eb3f43b4ca036e4a6508d70639f4795a714b86af895a2aa4,aac2bd20660e29752718dff2d2f1e8179d70384d330a647b6c557a3a5d503e01,665,23cb581ea7d0059ba7515130d14527efdd0b2e32bfc43018ad539867c5e94d75,False,False
0,2,131,669,policy,162,172,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_2_seed_131,61cd66ba0ee334428e2f201d37547adf4af8e6e8995c8f608078a18063ad8f69,1cdc912b76c01103eb647e6acb2a2ec459c30f8e6f03364fcc505a235bd16670,665,1688fe6849a07a7b3c89099a7d1a01b6e824f73c4d38bbde06b17c0aebe03b23,False,False
0,3,101,693,policy,168,178,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_3_seed_101,4cbb7f0d05d91c60a9c8339ea7a1a736004b1227733546f056dd82e1f398f53d,27cc9708d1c880430050e0a1323c69966904ff2b98361ac35496e28f17c5f0fc,689,968b81908b119ad4a4e67f2ddd24b889f90da6a8ab8ef04cd75d8c9a2a6fcd3e,False,False
0,3,131,693,policy,168,178,alphabet_soup_lifted,object_z_at_least,"[""alphabet_soup_1"",0.51]",False,False,True,True,recorded_milestone_sub_evidence,task_0_state_3_seed_131,5e21eccde79feb862ac68fa2483266bfb94f1223fb4b9d590de82148aef301ae,78d1a741b9eddb3ddbd1b01bb8bd7eca4513a2e395d85df6385a8d858d98f5f7,689,034d9dd2a714adad35e93a4b4a0a02aa5337e40f293ba7e7dceff9fc98fbe26c,False,False
1,0,101,557,policy,134,144,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_0_seed_101,a6264bf00fd0326adfab7009fc3926c5d1410074dca7261c89b5e871ceed9295,1dc1f8f685ed833f2f170b3bd6447c6fa2ed9116641ba84f07bc16759405e063,553,ed113d1cbdc9f15673f8bbf31951ca638691ed547b8ba1adcdb11d3642acd1be,False,False
1,0,131,557,policy,134,144,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_0_seed_131,7d81bd25d43f37ac258096083c0f460af9bd1504724ed19fbe88d16f41c7e00f,5a16ca154b487ac41e212da36112605f66f5c350f0c54681daf218f4036d9006,553,776e1643ab0988503e254b0ef661886a8fc68dc102736f3393f2a4aa1091080d,False,False
1,1,101,597,policy,144,154,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_1_seed_101,29b5b7e5be09681e54af6f1c44dedf0e153208e5e53ddf54ac7b918b388ec61d,664a237c0edf7522ee39891f4af786d504370b69991b929a69611ac03264be6e,593,db11bf7c3f43d55efd1a27bfc3aaffe783ecec17660822e2ab15cc882fd26104,False,False
1,1,131,597,policy,144,154,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_1_seed_131,45842f226d6e3e2aa250237c4191ee01fc30db9a9cc176d53569514e8e555700,0729adb4c80c3f532fcb0b3f0a6bc908421cb1316291c4a4c61ae1b6123a225e,593,81279a1632657400636a92cdda7c86d5376fdaaece64754588b6f046a670ce4e,False,False
1,2,101,553,policy,133,143,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_2_seed_101,f3605ac352e373eea71e81cb88f19466c0673ef9760594b425edc69816974f31,fcc2d45f61156343f5418016ecaee9fe2ad221782b6fa90e31e73ea3ad7fa031,549,31f7d5c397c8f2bab20faf8d65a655fc8cfee113cf17e6b25f0d227ebc2e479b,False,False
1,2,101,897,policy,219,229,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_2_seed_101,f3605ac352e373eea71e81cb88f19466c0673ef9760594b425edc69816974f31,c9c16c113e1f2e59e357d1bdf30de2f973093bbac6dd08fdd54c76ad1e33d644,893,de03130a778959f693cb144b83ba9e10ae73be2abf70d643951045643530de5a,False,False
1,2,131,553,policy,133,143,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_2_seed_131,9e55426e8cec4721fed8a3adb0c359ca9903a534c032acd5e199a540a5680adc,1ef64f9442cebd31bf10b3138ab57e2c1214484bc608c54c5677e443a11199aa,549,a63bd509d8ffb9688cef9a82bb8546ab3bed512bace6a574eb9a7e1db0745026,False,False
1,2,131,897,policy,219,229,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_2_seed_131,9e55426e8cec4721fed8a3adb0c359ca9903a534c032acd5e199a540a5680adc,c97e68ae2e4f4fdc4cd24d25e3740ae95ec47c2dfa66debf30a3fd61d799b109,893,fa5c74bceb90f37174165b57b68e5b2f800a386d44450da77b083b539729c577,False,False
1,3,101,709,policy,172,182,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_3_seed_101,9193853978366fb374596ef049f03ae81585d4a64f3b5d10646c9eab0c91dedf,91b3f0be30ba18612a4da58668c3a13adb62a401bb227bfdcb11c5b7e2f68347,705,e4f4ae1b1e72f621674153236a99ce2f41c9f4d78728a6dda3988ce5459a8c6a,False,False
1,3,131,709,policy,172,182,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_3_seed_131,4022d9fd0e1dab135b5b093cf0d9aee466a0599a89a59daea28bb619d66c112b,a80c4ece652870e58da72890cbef2b71b9907cbe2d3887c45ee90ad7511c532f,705,89735d711e61b3db39f41fd1179f3234f4f963d529b22acd1a3d32bf85398879,False,False
1,4,101,541,policy,130,140,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_4_seed_101,f76fde6daefd8d6208d012ee04810c6dc3a6850f6a269e81e9834c5c64508f7b,173eb024cc308f6a0bd5ead6badacf42d68e5c358bdec9c2cb07fae5b4f631ac,537,0d977bab818f086a5786a87a67d95cb671b9768c482c89de5ecb508b417a528a,False,False
1,4,131,541,policy,130,140,cream_cheese_lifted,object_z_at_least,"[""cream_cheese_1"",0.5]",False,False,True,True,recorded_milestone_sub_evidence,task_1_state_4_seed_131,2491f6423fe75887c4de051abca06246107dcaefd1eb2bece63625b47ff726e1,0424a766199fc8e93b1673e1f3207d997fde6491307f0b7a3725c2b9af4a93e9,537,001fe5eb4ab738f4a16f3e63132ae47c29c1ccaf1d1dfeda9c35fd3ef2e21602,False,False
4,0,101,393,policy,93,103,white_mug_on_left_plate,libero_predicate,"[""on"",""porcelain_mug_1"",""plate_1""]",True,False,True,True,recorded_milestone_sub_evidence,task_4_state_0_seed_101,93bdfd0b69a46f3fbef44de64b1e81d5750580ec80dba20b6a906a27ae522e39,3f218a55215e0a02cfc29ba42e6db2b5a0604d31b65a6ff34c44e41ed1a79096,389,2434c859dd7d0f006589591ca81a0ec8b2e9e6f3a82c0dca8698b5a6cf659c25,True,False
4,0,101,421,policy,100,110,white_mug_on_left_plate,libero_predicate,"[""on"",""porcelain_mug_1"",""plate_1""]",True,False,True,True,recorded_milestone_sub_evidence,task_4_state_0_seed_101,93bdfd0b69a46f3fbef44de64b1e81d5750580ec80dba20b6a906a27ae522e39,c2d2533962e05281d5c99808a7bfd514ad87359a7381c30f48220140c268edac,417,22e29fae799e6b0d9ecde48b91e46877cfc7a4fef84f2b7bdd71629c4a463aa2,True,False
4,0,131,393,policy,93,103,white_mug_on_left_plate,libero_predicate,"[""on"",""porcelain_mug_1"",""plate_1""]",True,False,True,True,recorded_milestone_sub_evidence,task_4_state_0_seed_131,fc330c40578428cb94902a347e35302f3e5a1f1b86376af1e0435b649a41f2d7,46f3c0a25a17b8882a8984ecaae230b689b78c5ea29d67acdd4aea411cda2c1f,389,e211dd79fcc9f374be4c7ab2936d76c33fa5acd3e7a110a7ef5383355276ac99,True,False
4,0,131,421,policy,100,110,white_mug_on_left_plate,libero_predicate,"[""on"",""porcelain_mug_1"",""plate_1""]",True,False,True,True,recorded_milestone_sub_evidence,task_4_state_0_seed_131,fc330c40578428cb94902a347e35302f3e5a1f1b86376af1e0435b649a41f2d7,4c04658b51353aba1cbec1da50746d0ea143f00fbcb7630f2e1b19d5c7df0c9e,417,b640b49ce55a50cba6ec68c50dc361f22af2efe10f0b047f5619207b3c5c9d80,True,False
