fault_id,case_id,family,arm,mutation_class,semantic_intent,proposal_sha256,canonical_proposal_sha256,proposal_changed,parser_accepted,native_materializer_accepted,native_representation_callback_calls,candidate_differs_oracle,representation_fail_open,common_validator_calls,common_validator_accepted,full_pipeline_rejected,end_to_end_fail_open,matched_canonical_guard_rejected,parser_or_matched_guard_rejects,first_rejection_layer,exception_class,exception_message,caller_state_unchanged,uncaught_crash,pass
CLEAN,no_op,no_op,cope,control,canonical output,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,9e1184845d8993c432fdad5f4849c98cf74f7bbf0f5ddd9c9d89a6d1ce49b805,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,no_op,no_op,compact_tx,control,canonical output,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,21d97148fc10b8acccf79a269072d84bc9f1a9ce26f6f403bd6c7ff096fa6060,False,True,True,1,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,no_op,no_op,fsr_pc,control,canonical output,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,replace_pending_target,replacement,cope,control,canonical output,707c00e8ec49e1c00b3fd396d8e85e83b5ac0b512f1d9f271f4cc5dfdb48dd6c,707c00e8ec49e1c00b3fd396d8e85e83b5ac0b512f1d9f271f4cc5dfdb48dd6c,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,replace_pending_target,replacement,compact_tx,control,canonical output,f20d58bb43a0947139d64fac92be6de19e6dc2ffc2b54a7bcdb38ff3a3b76cbe,f20d58bb43a0947139d64fac92be6de19e6dc2ffc2b54a7bcdb38ff3a3b76cbe,False,True,True,1,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,replace_pending_target,replacement,fsr_pc,control,canonical output,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,8ce6796a03f773839754969ea72ccc274ca1d08081fd5956635fa43449dd1583,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,wrong_source_revoke,authorization,cope,control,canonical output,9cb3491c8cef70f33c796b95ff34f7b860e8ad57398b1c6ee0d40705e80b9680,9cb3491c8cef70f33c796b95ff34f7b860e8ad57398b1c6ee0d40705e80b9680,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,wrong_source_revoke,authorization,compact_tx,control,canonical output,cfc3e76241500412429c30c4500b22e6fc92e2254e7e06ffb27b2c4d3eb317aa,cfc3e76241500412429c30c4500b22e6fc92e2254e7e06ffb27b2c4d3eb317aa,False,True,True,1,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,wrong_source_revoke,authorization,fsr_pc,control,canonical output,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,420b6333e82753831b0a7be1f9a77f50ee2ba768b0254dbfcbf03ccdf5bdc859,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
CLEAN,continuity_invalid,continuity,cope,control,canonical output,c3150304086ad5d1bcc87931e9b5c89fa8ffaaa9678177ccdadd9610431db5af,c3150304086ad5d1bcc87931e9b5c89fa8ffaaa9678177ccdadd9610431db5af,False,True,True,0,False,False,1,True,False,False,False,False,accepted,,,True,False,True
